Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
SfAaOT8r,ICELAND,2024,Division 1 2024,ICELAND 2,28/09/2024,11:00,Promotion,Keflavik,Afturelding,0,1,[],[78],Betfair,3.3,2.3,2.63,Betfair,2.8,3.5,2.15,,0.0,0.0,Betano.br,2.12,1.57,,0.0,0.0,Betfair,1.01,13.0,Betfair,1.11,5.5,Betfair,1.5,2.4,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,1.44,2.6,Betfair,1.62,1.25,1.36,Betfair,13.0,Betfair,9.5,Betfair,11.0,Betfair,18.0,Betfair,11.0,Betfair,6.0,Betfair,7.0,Betfair,11.0,Betfair,15.0,Betfair,8.5,Betfair,8.5,Betfair,15.0,Betfair,26.0,Betfair,15.0,Betfair,17.0,Betfair,26.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,1.57,4.05,4.4,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8Ctmw9Yq,ICELAND,2024,Division 1 2024,ICELAND 2,19/09/2024,16:15,Promotion,Afturelding,Fjolnir,3,1,"[2, 68, 90]",[64],Betfair,2.0,2.63,4.2,Betfair,1.57,4.4,4.2,,0.0,0.0,Betano.br,1.85,1.83,,0.0,0.0,,0.0,0.0,Betfair,1.05,8.0,Betfair,1.25,3.6,Betfair,1.73,2.0,Betfair,2.75,1.4,Betfair,1.3,3.2,Betfair,1.17,1.17,2.2,Betfair,23.0,Betfair,23.0,Betfair,31.0,Betfair,51.0,Betfair,11.0,Betfair,8.0,Betfair,12.0,Betfair,23.0,Betfair,10.0,Betfair,7.0,Betfair,9.0,Betfair,19.0,Betfair,13.0,Betfair,9.0,Betfair,10.0,Betfair,21.0,,0,0,,0.0,0.0,,0.0,0.0,Betano.br,1.93,1.78,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,Betano.br,2.47,4.1,2.18,,0.0,0.0,0.0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is28pitA,ICELAND,2024,Division 1 2024,ICELAND 2,18/09/2024,13:45,Promotion,IR Reykjavik,Keflavik,1,4,[44],"[11, 24, 27, 74]",Betfair,2.88,2.2,3.3,Betfair,2.3,3.3,2.63,,0.0,0.0,Betano.br,2.35,1.47,,0.0,0.0,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.65,2.1,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.57,2.25,Betfair,1.4,1.25,1.53,Betfair,10.0,Betfair,9.0,Betfair,12.0,Betfair,23.0,Betfair,7.5,Betfair,6.0,Betfair,8.5,Betfair,15.0,Betfair,10.0,Betfair,7.5,Betfair,9.5,Betfair,21.0,Betfair,19.0,Betfair,13.0,Betfair,18.0,Betfair,36.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,Betano.br,4.45,4.1,1.55,,0.0,0.0,0.0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gxpeym3d,ICELAND,2024,Division 1 2024,ICELAND 2,23/09/2024,12:45,Promotion,Fjolnir,Afturelding,0,0,[],[],Betfair,2.88,2.4,2.8,Betfair,2.55,4.0,2.15,,0.0,0.0,Betano.br,1.95,1.72,,0.0,0.0,,0.0,0.0,Betfair,1.08,6.5,Betfair,1.36,2.88,Betfair,1.95,1.75,Betfair,3.3,1.29,Betfair,1.33,3.0,Betfair,1.57,1.17,1.44,Betano.br,22.0,Betano.br,15.0,Betano.br,16.0,Betano.br,24.0,Betano.br,16.0,Betano.br,9.0,Betano.br,9.75,Betano.br,15.0,Betano.br,19.0,Betano.br,10.5,Betano.br,11.25,Betano.br,17.5,Betano.br,32.0,Betano.br,18.0,Betano.br,19.0,Betano.br,30.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,1.65,4.3,3.75,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ov5GrVAM,ICELAND,2024,Division 1 2024,ICELAND 2,22/09/2024,11:00,Promotion,Keflavik,IR Reykjavik,2,3,"[45, 69]","[13, 16, 35]",Betfair,2.1,2.4,4.5,Betfair,1.65,4.2,4.0,Betano.br,1.27,3.1,Betano.br,2.15,1.55,,0.0,0.0,Betfair,1.01,13.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.4,1.5,Betfair,4.0,1.2,Betfair,1.5,2.4,Betfair,1.2,1.17,2.1,Betfair,13.0,Betfair,14.0,Betfair,21.0,Betfair,51.0,Betfair,8.0,Betfair,6.5,Betfair,11.0,Betfair,26.0,Betfair,8.0,Betfair,6.5,Betfair,9.5,Betfair,23.0,Betfair,11.0,Betfair,9.5,Betfair,14.0,Betfair,31.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.78,1.93,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,Betano.br,2.92,3.9,1.95,,0.0,0.0,0.0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5E3yCP2,ICELAND,2024,Division 1 2024,ICELAND 2,14/09/2024,11:00,Round 22,Afturelding,IR Reykjavik,3,0,"[21, 37, 90]",[],Betfair,2.3,2.4,3.75,Betfair,1.85,3.8,3.3,,0.0,0.0,Betano.br,1.98,1.65,,0.0,0.0,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.4,2.75,Betfair,2.2,1.6,Betfair,3.8,1.22,Betfair,1.36,2.88,Betfair,1.25,1.2,1.83,Betfair,15.0,Betfair,14.0,Betfair,20.0,Betfair,36.0,Betfair,9.5,Betfair,6.5,Betfair,9.5,Betfair,19.0,Betfair,10.0,Betfair,6.5,Betfair,8.5,Betfair,19.0,Betfair,14.0,Betfair,10.0,Betfair,13.0,Betfair,23.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.88,1.83,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,Betano.br,3.15,4.0,1.85,,0.0,0.0,0.0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1QLCSn2,ICELAND,2024,Division 1 2024,ICELAND 2,14/09/2024,11:00,Round 22,Grindavik,Njardvik,2,2,"[56, 57]","[27, 90]",Betfair,4.0,2.5,2.2,Betfair,3.9,4.0,1.67,,0.0,0.0,Betano.br,1.98,1.72,,0.0,0.0,,0.0,0.0,Betfair,1.07,7.0,Betfair,1.33,3.0,Betfair,1.95,1.75,Betfair,3.3,1.29,Betfair,1.36,2.88,Betfair,2.0,1.17,1.2,Betfair,19.0,Betfair,10.0,Betfair,10.0,Betfair,13.0,Betfair,17.0,Betfair,7.5,Betfair,6.5,Betfair,9.0,Betfair,21.0,Betfair,10.0,Betfair,8.5,Betfair,12.0,Betfair,46.0,Betfair,21.0,Betfair,20.0,Betfair,23.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,2.05,3.95,2.72,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CbMHD8Xe,ICELAND,2024,Division 1 2024,ICELAND 2,14/09/2024,11:00,Round 22,Dalvik/Reynir,Throttur,2,5,"[38, 76]","[15, 29, 59, 62, 66]",Betfair,5.0,2.5,1.91,Betfair,5.0,4.4,1.44,,0.0,0.0,Betano.br,1.93,1.75,,0.0,0.0,,0.0,0.0,Betfair,1.08,6.5,Betfair,1.36,2.88,Betfair,1.95,1.75,Betfair,3.3,1.29,Betfair,1.44,2.6,Betfair,2.4,1.14,1.11,Betfair,19.0,Betfair,9.0,Betfair,8.0,Betfair,11.0,Betfair,21.0,Betfair,8.0,Betfair,6.5,Betfair,8.0,Betfair,26.0,Betfair,14.0,Betfair,10.0,Betfair,12.0,Betfair,61.0,Betfair,26.0,Betfair,26.0,Betfair,26.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.95,1.75,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,2.5,3.9,2.22,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZWCElIk,ICELAND,2024,Division 1 2024,ICELAND 2,14/09/2024,11:00,Round 22,Grotta,Thor Akureyri,1,2,[69],"[32, 53]",Betfair,3.6,2.4,2.4,Betfair,3.3,3.8,1.85,,0.0,0.0,Betano.br,2.07,1.6,,0.0,0.0,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.45,2.55,Betfair,2.2,1.6,Betfair,3.8,1.22,Betfair,1.4,2.75,Betfair,1.83,1.2,1.25,Betfair,15.0,Betfair,9.0,Betfair,10.0,Betfair,15.0,Betfair,13.0,Betfair,6.5,Betfair,7.0,Betfair,11.0,Betfair,17.0,Betfair,9.5,Betfair,8.5,Betfair,13.0,Betfair,34.0,Betfair,18.0,Betfair,19.0,Betfair,23.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.75,1.95,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,1.78,4.05,3.35,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7U4ZkfF,ICELAND,2024,Division 1 2024,ICELAND 2,14/09/2024,11:00,Round 22,Keflavik,Fjolnir,4,0,"[25, 46, 72, 81]",[],Betfair,2.7,2.4,3.0,Betfair,2.3,3.6,2.5,,0.0,0.0,Betano.br,1.98,1.72,,0.0,0.0,Betfair,1.01,17.0,Betfair,1.07,7.0,Betfair,1.36,2.88,Betfair,1.95,1.75,Betfair,3.3,1.29,Betfair,1.3,3.2,Betfair,1.44,1.22,1.5,Betfair,17.0,Betfair,13.0,Betfair,15.0,Betfair,23.0,Betfair,12.0,Betfair,7.0,Betfair,8.5,Betfair,13.0,Betfair,13.0,Betfair,7.5,Betfair,7.5,Betfair,14.0,Betfair,20.0,Betfair,12.0,Betfair,13.0,Betfair,19.0,,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,,0,0,,0,0,0,,0.0,0.0,0.0,Betano.br,4.0,4.25,1.6,,0.0,0.0,0.0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
