Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
tjEB8kaJ,SOUTH-KOREA,2025,K League 2 2025,SOUTH KOREA 2,27/09/2025,04:30,Round 31,Asan,Suwon Bluewings,1,3,[55],"[28, 90, 90]",bet365,3.4,2.38,2.75,bet365,2.9,3.8,2.2,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.03,15.0,bet365,1.2,4.33,bet365,1.67,2.15,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.57,2.25,bet365,1.67,1.25,1.4,bet365,15.0,bet365,10.0,bet365,12.0,bet365,21.0,bet365,12.0,bet365,7.5,bet365,9.0,bet365,17.0,bet365,17.0,bet365,11.0,bet365,13.0,bet365,23.0,bet365,29.0,bet365,21.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.9,1.13,bet365,4.8,1.18,bet365,2.75,1.43,bet365,1.65,2.2,bet365,1.33,3.3,bet365,1.23,4.0,,0.0,0.0,,0.0,0.0,BetEsporte,26.0,11.0,1.02,BetEsporte,13.0,7.6,1.11,BetEsporte,5.8,4.7,1.35,bet365,1.67,4.33,4.0,BetEsporte,1.21,6.0,8.6,BetEsporte,1.05,9.6,18.0,,,,,,,,,,,0.58,0.42,,,,,,,,,,,14.0,13.0,7.0,6.0,7.0,7.0,,,,,,,,,,,,,6.0,4.0,16.0,15.0,,,15.0,15.0,2.0,2.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.6,0.4,9.0,5.0,4.0,3.0,5.0,2.0,,,4.0,2.0,2.0,0.0,8.0,6.0,0.0,0.0,,,,,,,,,0.56,0.44,5.0,8.0,3.0,3.0,2.0,5.0,,,2.0,2.0,0.0,2.0,,,7.0,9.0,0.0,1.0,,
dbrdG1IP,SOUTH-KOREA,2025,K League 2 2025,SOUTH KOREA 2,27/09/2025,07:00,Round 31,Cheongju,Cheonan City,0,1,[],[60],bet365,3.75,2.2,2.75,bet365,3.2,3.5,2.15,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.93,1.88,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.67,1.29,1.36,bet365,11.0,bet365,8.0,bet365,10.0,bet365,19.0,bet365,10.0,bet365,6.5,bet365,9.0,bet365,17.0,bet365,17.0,bet365,12.0,bet365,15.0,bet365,26.0,bet365,34.0,bet365,26.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,6.8,1.11,bet365,5.9,1.13,bet365,3.1,1.35,bet365,1.7,2.1,bet365,1.33,3.3,bet365,1.23,4.0,,0.0,0.0,,0.0,0.0,BetEsporte,30.0,11.0,1.01,BetEsporte,16.0,7.8,1.09,BetEsporte,6.6,4.7,1.32,bet365,1.67,4.0,4.0,BetEsporte,1.19,6.0,9.4,BetEsporte,1.04,9.6,20.0,,,,,,,,,,,0.61,0.39,,,,,,,,,,,9.0,4.0,3.0,3.0,6.0,1.0,,,,,,,,,,,,,6.0,1.0,18.0,13.0,,,12.0,18.0,1.0,2.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.63,0.37,1.0,2.0,1.0,1.0,0.0,1.0,,,3.0,1.0,1.0,1.0,9.0,8.0,1.0,0.0,,,,,,,,,0.59,0.41,8.0,2.0,2.0,2.0,6.0,0.0,,,3.0,0.0,0.0,1.0,,,3.0,10.0,0.0,0.0,,
ldNz9JAa,SOUTH-KOREA,2025,K League 2 2025,SOUTH KOREA 2,28/09/2025,04:30,Round 31,Hwaseong,Busan,1,1,[32],[69],bet365,4.75,2.05,2.63,bet365,3.9,3.4,1.95,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.07,9.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.0,1.73,bet365,1.8,1.3,1.25,bet365,8.0,bet365,6.0,bet365,8.5,bet365,17.0,bet365,9.5,bet365,6.5,bet365,9.0,bet365,17.0,bet365,19.0,bet365,13.0,bet365,19.0,bet365,34.0,bet365,41.0,bet365,34.0,bet365,41.0,bet365,67.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,3.7,1.26,bet365,1.85,1.95,bet365,1.4,2.85,bet365,1.28,3.55,,0.0,0.0,Alfabet,1.07,7.0,BetEsporte,40.0,11.0,1.01,BetEsporte,24.0,8.8,1.05,BetEsporte,9.4,5.0,1.23,bet365,1.8,3.6,3.75,BetEsporte,1.23,5.4,8.6,BetEsporte,1.05,9.2,19.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,4.0,17.0,3.0,6.0,1.0,11.0,,,,,,,,,,,,,2.0,8.0,11.0,15.0,,,15.0,9.0,3.0,2.0,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,0.48,0.52,2.0,7.0,2.0,2.0,0.0,5.0,,,1.0,5.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,,,,,,0.58,0.42,2.0,10.0,1.0,4.0,1.0,6.0,,,1.0,3.0,3.0,1.0,,,8.0,6.0,0.0,2.0,,
YPA3ABU6,SOUTH-KOREA,2025,K League 2 2025,SOUTH KOREA 2,27/09/2025,02:00,Round 31,Jeonnam,Bucheon FC 1995,3,2,"[31, 45, 74]","[13, 66]",bet365,3.0,2.25,3.4,bet365,2.4,3.3,2.88,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.67,2.1,bet365,1.4,1.33,1.53,bet365,11.0,bet365,10.0,bet365,15.0,bet365,29.0,bet365,9.5,bet365,6.5,bet365,11.0,bet365,21.0,bet365,13.0,bet365,9.5,bet365,13.0,bet365,29.0,bet365,23.0,bet365,19.0,bet365,26.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,4.8,1.18,bet365,3.9,1.24,bet365,2.38,1.55,bet365,1.43,2.75,bet365,1.18,4.65,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,BetEsporte,22.0,10.0,1.03,BetEsporte,11.0,6.6,1.16,bet365,4.75,4.33,1.53,BetEsporte,1.39,4.5,5.6,BetEsporte,1.12,7.2,13.0,BetEsporte,1.02,11.0,26.0,,,,,,,,,,,0.42,0.58,,,,,,,,,,,8.0,7.0,6.0,4.0,2.0,3.0,,,,,,,,,,,,,2.0,6.0,8.0,12.0,,,12.0,5.0,3.0,2.0,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,0.38,0.62,5.0,3.0,4.0,2.0,1.0,1.0,,,0.0,3.0,1.0,1.0,4.0,2.0,0.0,1.0,,,,,,,,,0.46,0.54,3.0,4.0,2.0,2.0,1.0,2.0,,,2.0,3.0,2.0,1.0,,,8.0,3.0,0.0,2.0,,
CAMfCXaf,SOUTH-KOREA,2025,K League 2 2025,SOUTH KOREA 2,21/09/2025,07:00,Round 30,Busan,Jeonnam,1,1,[12],[29],bet365,2.5,2.2,4.33,bet365,1.9,3.6,3.6,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.29,1.29,1.91,bet365,10.0,bet365,10.0,bet365,19.0,bet365,41.0,bet365,7.0,bet365,7.0,bet365,13.0,bet365,29.0,bet365,9.0,bet365,9.0,bet365,17.0,bet365,41.0,bet365,17.0,bet365,15.0,bet365,29.0,bet365,51.0,Alfabet,6.5,1.08,bet365,6.6,1.11,bet365,3.45,1.3,bet365,2.68,1.45,bet365,1.9,1.9,bet365,1.28,3.55,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,16.0,8.6,1.07,BetEsporte,7.4,5.4,1.27,bet365,3.5,3.75,1.91,BetEsporte,1.24,5.2,8.8,BetEsporte,1.05,8.8,21.0,BetEsporte,1.01,11.0,35.0,,,,,,,,,,,0.6,0.4,,,,,,,,,,,8.0,4.0,3.0,2.0,5.0,2.0,,,,,,,,,,,,,2.0,2.0,12.0,13.0,,,11.0,9.0,1.0,1.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,0.55,0.45,2.0,4.0,1.0,2.0,1.0,2.0,,,2.0,0.0,,,7.0,6.0,0.0,2.0,,,,,,,,,0.65,0.35,6.0,0.0,2.0,0.0,4.0,0.0,,,0.0,2.0,1.0,1.0,,,4.0,3.0,2.0,1.0,,
MPFNJF7K,SOUTH-KOREA,2025,K League 2 2025,SOUTH KOREA 2,21/09/2025,04:30,Round 30,Ansan Greeners,Cheongju,0,0,[],[],bet365,3.5,2.05,3.25,bet365,2.8,3.1,2.55,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.2,1.65,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.5,1.36,1.4,bet365,8.0,bet365,7.5,bet365,12.0,bet365,26.0,bet365,8.0,bet365,6.0,bet365,10.0,bet365,23.0,bet365,13.0,bet365,11.0,bet365,15.0,bet365,34.0,bet365,29.0,bet365,23.0,bet365,34.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,6.0,1.13,bet365,5.0,1.17,bet365,2.75,1.43,bet365,1.5,2.5,bet365,1.21,4.25,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,BetEsporte,30.0,11.0,1.01,BetEsporte,15.0,7.4,1.1,BetEsporte,6.2,4.4,1.37,bet365,1.5,4.33,5.5,BetEsporte,1.13,6.8,13.0,BetEsporte,1.02,11.0,27.0,,,,,,,,,,,0.53,0.47,,,,,,,,,,,11.0,2.0,10.0,0.0,1.0,2.0,,,,,,,,,,,,,3.0,4.0,17.0,10.0,,,9.0,17.0,0.0,4.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.5,0.5,7.0,0.0,7.0,0.0,0.0,0.0,,,3.0,4.0,0.0,2.0,5.0,7.0,1.0,0.0,,,,,,,,,0.56,0.44,4.0,2.0,3.0,0.0,1.0,2.0,,,0.0,0.0,0.0,2.0,,,4.0,10.0,0.0,0.0,,
4pJnEgVs,SOUTH-KOREA,2025,K League 2 2025,SOUTH KOREA 2,21/09/2025,04:30,Round 30,Cheonan City,Hwaseong,2,2,"[12, 71]","[40, 90]",bet365,3.1,2.1,3.4,bet365,2.45,3.1,2.75,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.03,1.78,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.8,1.91,bet365,1.4,1.36,1.53,bet365,9.5,bet365,9.0,bet365,13.0,bet365,29.0,bet365,8.5,bet365,6.0,bet365,11.0,bet365,23.0,bet365,12.0,bet365,10.0,bet365,13.0,bet365,34.0,bet365,23.0,bet365,21.0,bet365,29.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,5.0,1.17,bet365,4.0,1.23,bet365,2.43,1.53,bet365,1.43,2.75,bet365,1.17,5.0,bet365,1.13,5.9,,0.0,0.0,,0.0,0.0,BetEsporte,25.0,10.0,1.03,BetEsporte,12.0,6.6,1.15,bet365,5.0,4.33,1.53,BetEsporte,1.38,4.4,5.8,BetEsporte,1.11,7.2,14.0,BetEsporte,1.02,11.0,28.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,11.0,10.0,6.0,4.0,5.0,6.0,,,,,,,,,,,,,3.0,5.0,12.0,10.0,,,10.0,11.0,2.0,2.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.46,0.54,3.0,4.0,2.0,1.0,1.0,3.0,,,1.0,2.0,2.0,0.0,4.0,5.0,0.0,1.0,,,,,,,,,0.53,0.47,8.0,6.0,4.0,3.0,4.0,3.0,,,2.0,3.0,0.0,2.0,0.0,1.0,6.0,6.0,0.0,0.0,,
Y3ZScYp1,SOUTH-KOREA,2025,K League 2 2025,SOUTH KOREA 2,20/09/2025,07:00,Round 30,Incheon,Gimpo FC,1,2,[86],"[47, 63]",bet365,2.5,2.1,5.0,bet365,1.83,3.5,4.2,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.2,1.65,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.1,1.67,bet365,1.22,1.29,1.91,bet365,8.0,bet365,10.0,bet365,21.0,bet365,51.0,bet365,6.0,bet365,7.0,bet365,15.0,bet365,41.0,bet365,8.0,bet365,9.0,bet365,19.0,bet365,41.0,bet365,15.0,bet365,17.0,bet365,34.0,bet365,67.0,Betnacional,5.9,1.07,bet365,6.6,1.11,bet365,3.45,1.3,bet365,2.68,1.45,bet365,1.85,1.95,bet365,1.24,3.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,17.0,8.4,1.07,BetEsporte,7.2,5.2,1.29,bet365,3.4,3.6,1.91,BetEsporte,1.2,5.4,11.0,BetEsporte,1.04,9.4,27.0,BetEsporte,1.01,11.0,40.0,,,,,,,,,,,0.47,0.53,,,,,,,,,,,20.0,9.0,15.0,7.0,5.0,2.0,,,,,,,,,,,,,10.0,1.0,10.0,6.0,,,6.0,10.0,1.0,3.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.53,0.47,7.0,2.0,4.0,2.0,3.0,0.0,,,4.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,,,,,,,,,0.41,0.59,13.0,7.0,11.0,5.0,2.0,2.0,,,6.0,0.0,1.0,1.0,,,4.0,4.0,0.0,0.0,,
UVSydCFD,SOUTH-KOREA,2025,K League 2 2025,SOUTH KOREA 2,20/09/2025,07:00,Round 30,Seongnam,Asan,3,0,"[40, 63, 66]",[],bet365,2.88,2.2,3.75,bet365,2.15,3.4,3.0,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,1.98,1.83,bet365,3.4,1.3,bet365,7.0,1.1,bet365,1.8,1.91,bet365,1.36,1.3,1.67,bet365,10.0,bet365,9.5,bet365,15.0,bet365,34.0,bet365,8.0,bet365,6.5,bet365,11.0,bet365,26.0,bet365,11.0,bet365,9.0,bet365,15.0,bet365,34.0,bet365,21.0,bet365,17.0,bet365,29.0,bet365,51.0,,0.0,0.0,,0.0,0.0,bet365,4.15,1.22,bet365,3.3,1.33,bet365,2.15,1.68,bet365,1.38,3.0,bet365,1.14,5.75,bet365,1.11,6.8,,0.0,0.0,,0.0,0.0,BetEsporte,21.0,9.8,1.04,BetEsporte,9.8,6.0,1.19,bet365,4.33,4.0,1.67,BetEsporte,1.32,4.7,6.8,BetEsporte,1.08,7.8,17.0,BetEsporte,1.01,11.0,30.0,,,,,,,,,,,0.43,0.57,,,,,,,,,,,3.0,11.0,3.0,2.0,0.0,9.0,,,,,,,,,,,,,3.0,5.0,13.0,14.0,,,13.0,11.0,0.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,0.41,0.59,1.0,6.0,1.0,2.0,0.0,4.0,,,3.0,2.0,,,7.0,4.0,0.0,0.0,,,,,,,,,0.45,0.55,2.0,5.0,2.0,0.0,0.0,5.0,,,0.0,3.0,0.0,1.0,,,6.0,7.0,1.0,2.0,,
QwWKafGl,SOUTH-KOREA,2025,K League 2 2025,SOUTH KOREA 2,20/09/2025,04:30,Round 30,Bucheon FC 1995,Seoul E-Land,2,2,"[90, 90]","[16, 58]",bet365,3.2,2.2,3.25,bet365,2.55,3.4,2.63,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.93,1.88,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.44,1.3,1.5,bet365,11.0,bet365,9.0,bet365,13.0,bet365,26.0,bet365,9.0,bet365,6.5,bet365,10.0,bet365,21.0,bet365,13.0,bet365,10.0,bet365,13.0,bet365,29.0,bet365,26.0,bet365,21.0,bet365,29.0,bet365,41.0,,0.0,0.0,,0.0,0.0,bet365,5.0,1.17,bet365,4.0,1.23,bet365,2.43,1.53,bet365,1.48,2.6,bet365,1.2,4.4,bet365,1.15,5.5,,0.0,0.0,,0.0,0.0,BetEsporte,25.0,11.0,1.03,BetEsporte,12.0,6.8,1.14,bet365,5.0,4.33,1.5,bet365,1.5,4.33,5.5,BetEsporte,1.13,7.0,13.0,BetEsporte,1.02,11.0,26.0,,,,,,,,,,,0.39,0.61,,,,,,,,,,,11.0,6.0,8.0,3.0,3.0,3.0,,,,,,,,,,,,,7.0,1.0,18.0,12.0,,,11.0,18.0,1.0,7.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.47,0.53,3.0,2.0,1.0,1.0,2.0,1.0,,,0.0,1.0,1.0,3.0,4.0,13.0,0.0,0.0,,,,,,,,,0.32,0.68,8.0,4.0,7.0,2.0,1.0,2.0,,,7.0,0.0,0.0,4.0,0.0,1.0,7.0,5.0,1.0,0.0,,
Es1uKO13,SOUTH-KOREA,2025,K League 2 2025,SOUTH KOREA 2,14/09/2025,07:00,Round 29,Ansan Greeners,Busan,2,3,"[71, 89]","[2, 57, 66]",bet365,5.5,2.0,2.5,bet365,4.5,3.3,1.75,bet365,1.5,2.5,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.08,8.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.2,1.62,bet365,1.91,1.3,1.17,bet365,7.0,bet365,5.5,bet365,7.0,bet365,13.0,bet365,9.5,bet365,7.0,bet365,9.0,bet365,17.0,bet365,21.0,bet365,17.0,bet365,21.0,bet365,41.0,bet365,51.0,bet365,41.0,bet365,51.0,bet365,81.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,bet365,4.4,1.2,bet365,2.03,1.78,bet365,1.5,2.5,bet365,1.3,3.45,bet365,1.11,6.6,bet365,1.1,7.0,BetEsporte,50.0,11.0,1.01,BetEsporte,30.0,9.6,1.03,BetEsporte,12.0,5.6,1.18,bet365,1.91,3.5,3.4,BetEsporte,1.28,5.0,7.6,BetEsporte,1.07,8.6,18.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,7.0,9.0,4.0,8.0,3.0,1.0,,,,,,,,,,,,,0.0,4.0,11.0,7.0,,,7.0,11.0,0.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.45,0.55,0.0,4.0,0.0,3.0,0.0,1.0,,,0.0,2.0,,,3.0,4.0,0.0,0.0,,,,,,,,,0.55,0.45,7.0,5.0,4.0,5.0,3.0,0.0,,,0.0,2.0,0.0,1.0,,,4.0,7.0,0.0,0.0,,
6kJnI2WF,SOUTH-KOREA,2025,K League 2 2025,SOUTH KOREA 2,20/09/2025,04:30,Round 30,Suwon Bluewings,Gyeongnam,1,2,[84],"[27, 77]",bet365,1.83,2.75,6.0,bet365,1.4,5.0,5.75,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.33,1.2,bet365,1.02,21.0,bet365,1.13,6.0,bet365,1.4,2.88,bet365,2.0,1.73,bet365,3.4,1.3,bet365,1.62,2.2,bet365,1.14,1.17,2.75,bet365,21.0,bet365,21.0,bet365,34.0,bet365,67.0,bet365,10.0,bet365,10.0,bet365,19.0,bet365,41.0,bet365,9.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,11.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,3.45,1.3,bet365,2.75,1.43,bet365,2.05,1.75,bet365,1.6,2.3,bet365,1.4,2.85,bet365,1.14,5.75,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,BetEsporte,6.6,6.0,1.26,BetEsporte,3.45,4.4,1.68,bet365,2.05,4.0,2.75,BetEsporte,1.11,7.2,14.0,BetEsporte,1.02,11.0,28.0,,0.0,0.0,0.0,,,,,,,,,,,0.62,0.38,,,,,,,,,,,18.0,14.0,12.0,11.0,6.0,3.0,,,,,,,,,,,,,10.0,1.0,15.0,13.0,,,10.0,14.0,2.0,6.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,0.59,0.41,8.0,9.0,5.0,6.0,3.0,3.0,,,3.0,1.0,0.0,2.0,4.0,8.0,2.0,0.0,,,,,,,,,0.65,0.35,10.0,5.0,7.0,5.0,3.0,0.0,,,7.0,0.0,2.0,4.0,,,6.0,6.0,1.0,1.0,,
