Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
0M1AcAcU,NORTHERN-IRELAND,2022-2023,Nifl Premiership 2022 2023,NORTHERN IRELAND 1,01/06/2023,15:45,Relegation,Dungannon,Annagh,2,0,"[13, 69]",[],Betano.br,1.78,2.52,6.6,Betfair,1.2,5.5,8.0,Betano.br,1.29,3.3,Betano.br,2.25,1.57,Betano.br,4.65,1.16,Betfair,1.01,17.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.4,1.5,Betfair,4.5,1.17,Betfair,1.91,1.8,Betfair,1.06,1.11,3.75,Betfair,15.0,Betfair,23.0,Betfair,61.0,Betfair,67.0,Betfair,6.5,Betfair,9.5,Betfair,23.0,Betfair,67.0,Betfair,6.0,Betfair,7.0,Betfair,17.0,Betfair,67.0,Betfair,7.5,Betfair,9.0,Betfair,19.0,Betfair,67.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,6.0,5.5,1.35,Betano.br,3.2,4.1,1.88,Betano.br,1.9,3.85,3.3,Betano.br,1.09,8.5,18.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.6,0.4,,,,,,,,,,,13.0,6.0,4.0,3.0,9.0,3.0,,,,,,,,,,,,,12.0,3.0,,,,,,,1.0,2.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,0.62,0.38,7.0,2.0,2.0,1.0,5.0,1.0,,,9.0,1.0,0.0,1.0,,,,,1.0,1.0,,,,,,,0.58,0.42,6.0,4.0,2.0,2.0,4.0,2.0,,,3.0,2.0,1.0,1.0,,,,,,,2.0,1.0
lnb6bjrO,NORTHERN-IRELAND,2022-2023,Nifl Premiership 2022 2023,NORTHERN IRELAND 1,30/05/2023,15:45,Relegation,Annagh,Dungannon,2,1,"[4, 70]",[3],Betano.br,6.7,2.47,1.8,Betfair,8.0,5.0,1.25,Betano.br,1.32,3.1,Betano.br,2.37,1.52,Betano.br,5.0,1.14,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.85,1.85,Betfair,3.4,1.13,1.06,Betfair,13.0,Betfair,6.5,Betfair,6.0,Betfair,8.0,Betfair,21.0,Betfair,9.0,Betfair,6.5,Betfair,9.0,Betfair,46.0,Betfair,21.0,Betfair,15.0,Betfair,17.0,Betfair,67.0,Betfair,67.0,Betfair,61.0,Betfair,67.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,18.0,8.25,1.1,Betano.br,3.2,3.75,1.95,Betano.br,1.83,4.1,3.35,Betano.br,1.32,5.6,6.4,,,,,,,,,,,0.37,0.63,,,,,,,,,,,7.0,9.0,4.0,4.0,3.0,5.0,,,,,,,,,,,,,4.0,5.0,,,,,,,3.0,0.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,0.36,0.64,2.0,3.0,2.0,1.0,0.0,2.0,,,3.0,1.0,1.0,0.0,,,,,0.0,1.0,,,,,,,0.38,0.62,5.0,6.0,2.0,3.0,3.0,3.0,,,1.0,4.0,2.0,0.0,,,,,,,3.0,1.0
GQudsLIC,NORTHERN-IRELAND,2022-2023,Nifl Premiership 2022 2023,NORTHERN IRELAND 1,13/05/2023,12:30,Conference League,Glentoran,Cliftonville,2,0,"[35, 40]",[],Betfair,2.1,2.2,5.5,Betfair,1.53,3.8,4.75,Betano.br,1.4,2.75,Betano.br,2.7,1.4,Betano.br,5.9,1.1,Betfair,1.02,10.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.2,1.3,Betfair,6.5,1.08,Betfair,1.8,1.87,Betfair,1.13,1.2,2.25,Betfair,9.0,Betfair,12.0,Betfair,23.0,Betfair,76.0,Betfair,5.5,Betfair,6.0,Betfair,14.0,Betfair,36.0,Betfair,6.0,Betfair,6.5,Betfair,13.0,Betfair,41.0,Betfair,10.0,Betfair,10.0,Betfair,18.0,Betfair,61.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,10.25,7.0,1.18,Betano.br,4.9,4.45,1.52,Betano.br,2.52,3.5,2.45,Betano.br,1.15,6.7,14.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.52,0.48,,,,,,,,,,,5.0,4.0,3.0,0.0,2.0,4.0,,,,,,,,,,,,,4.0,2.0,,,,,,,0.0,3.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,0.49,0.51,4.0,2.0,3.0,0.0,1.0,2.0,,,4.0,1.0,0.0,1.0,,,,,0.0,1.0,,,,,,,0.55,0.45,1.0,2.0,0.0,0.0,1.0,2.0,,,0.0,1.0,0.0,2.0,0.0,1.0,,,,,0.0,0.0
C0LlVUyE,NORTHERN-IRELAND,2022-2023,Nifl Premiership 2022 2023,NORTHERN IRELAND 1,10/05/2023,15:45,Conference League,Cliftonville,Coleraine,2,1,"[4, 20]",[72],Betfair,2.7,2.1,3.6,Betfair,2.1,3.3,2.9,Betano.br,1.37,2.87,Betano.br,2.52,1.47,Betano.br,5.4,1.12,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.73,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.57,2.2,Betfair,1.3,1.25,1.62,Betfair,9.5,Betfair,9.5,Betfair,14.0,Betfair,31.0,Betfair,7.5,Betfair,5.5,Betfair,9.0,Betfair,18.0,Betfair,9.5,Betfair,7.0,Betfair,9.5,Betfair,23.0,Betfair,15.0,Betfair,12.0,Betfair,18.0,Betfair,36.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,18.5,10.25,1.07,Betano.br,9.25,6.2,1.22,Betano.br,4.35,4.05,1.62,Betano.br,1.4,4.6,6.2,Betano.br,1.12,7.7,14.0,,0.0,0.0,0.0,,,,,,,,,,,0.37,0.63,,,,,,,,,,,5.0,4.0,5.0,2.0,0.0,2.0,,,,,,,,,,,,,2.0,5.0,,,,,,,1.0,3.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,0.35,0.65,4.0,0.0,4.0,0.0,0.0,0.0,,,1.0,4.0,0.0,1.0,,,,,0.0,2.0,,,,,,,0.39,0.61,1.0,4.0,1.0,2.0,0.0,2.0,,,1.0,1.0,1.0,2.0,,,,,,,1.0,1.0
jiKhUliK,NORTHERN-IRELAND,2022-2023,Nifl Premiership 2022 2023,NORTHERN IRELAND 1,10/05/2023,15:45,Conference League,Glentoran,Glenavon,5,0,"[3, 35, 53, 73, 78]",[],Betfair,1.73,2.5,7.0,Betfair,1.22,5.0,8.0,Betano.br,1.3,3.2,Betano.br,2.32,1.55,Betano.br,4.8,1.15,Betfair,1.01,13.0,Betfair,1.14,4.8,Betfair,1.57,2.25,Betfair,2.55,1.45,Betfair,4.8,1.14,Betfair,1.83,1.83,Betfair,1.05,1.13,3.4,Betfair,14.0,Betfair,20.0,Betfair,41.0,Betfair,151.0,Betfair,6.0,Betfair,8.5,Betfair,21.0,Betfair,71.0,Betfair,5.5,Betfair,6.5,Betfair,15.0,Betfair,61.0,Betfair,7.0,Betfair,8.5,Betfair,18.0,Betfair,71.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,6.0,5.5,1.35,Betano.br,3.2,4.1,1.88,Betano.br,1.9,3.85,3.3,Betano.br,1.09,8.25,18.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.47,0.53,,,,,,,,,,,17.0,9.0,10.0,3.0,7.0,6.0,,,,,,,,,,,,,4.0,7.0,,,,,,,1.0,4.0,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,0.55,0.45,8.0,3.0,5.0,1.0,3.0,2.0,,,2.0,3.0,1.0,2.0,,,,,1.0,3.0,,,,,,,0.39,0.61,9.0,6.0,5.0,2.0,4.0,4.0,,,2.0,4.0,0.0,2.0,,,,,,,2.0,2.0
pvNZjdxA,NORTHERN-IRELAND,2022-2023,Nifl Premiership 2022 2023,NORTHERN IRELAND 1,29/04/2023,13:30,Relegation Group,Ballymena,Carrick Rangers,1,0,[52],[],Betfair,2.88,2.1,3.4,Betfair,2.3,3.3,2.75,Betano.br,1.38,2.8,Betano.br,2.65,1.42,Betano.br,5.7,1.1,Betfair,1.03,9.0,Betfair,1.22,3.8,Betfair,1.8,1.91,Betfair,3.2,1.3,Betfair,6.5,1.08,Betfair,1.6,2.2,Betfair,1.36,1.25,1.53,Betfair,8.5,Betfair,8.5,Betfair,12.0,Betfair,26.0,Betfair,7.5,Betfair,5.5,Betfair,8.5,Betfair,17.0,Betfair,10.0,Betfair,7.5,Betfair,10.0,Betfair,23.0,Betfair,19.0,Betfair,14.0,Betfair,20.0,Betfair,41.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,18.5,10.25,1.07,Betano.br,9.5,6.2,1.22,Betano.br,4.3,4.05,1.65,Betano.br,1.42,4.55,6.1,Betano.br,1.13,7.6,13.5,,0.0,0.0,0.0,,,,,,,,,,,0.55,0.45,,,,,,,,,,,6.0,13.0,2.0,4.0,4.0,9.0,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,0.46,0.54,0.0,7.0,0.0,3.0,0.0,4.0,,,1.0,2.0,,,,,,,3.0,0.0,,,,,,,0.64,0.36,6.0,6.0,2.0,1.0,4.0,5.0,,,0.0,3.0,,,,,,,,,1.0,1.0
S2CvjGiG,NORTHERN-IRELAND,2022-2023,Nifl Premiership 2022 2023,NORTHERN IRELAND 1,29/04/2023,13:30,Relegation Group,Dungannon,Newry City,2,1,"[13, 90]",[40],Betfair,7.0,2.6,1.73,Betfair,8.0,6.0,1.2,Betano.br,1.29,3.3,Betano.br,2.25,1.57,Betano.br,4.65,1.16,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.45,2.55,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,1.73,2.0,Betfair,3.75,1.08,1.05,Betfair,15.0,Betfair,7.0,Betfair,6.0,Betfair,7.5,Betfair,23.0,Betfair,9.0,Betfair,6.5,Betfair,8.0,Betfair,41.0,Betfair,19.0,Betfair,14.0,Betfair,15.0,Betfair,101.0,Betfair,56.0,Betfair,51.0,Betfair,56.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,Betano.br,23.0,9.5,1.06,Betano.br,4.55,4.1,1.6,Betano.br,2.32,3.9,2.5,Betano.br,1.52,4.8,4.4,,,,,,,,,,,0.53,0.47,,,,,,,,,,,10.0,8.0,4.0,2.0,6.0,6.0,,,,,,,,,,,,,10.0,5.0,,,,,,,1.0,3.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,0.53,0.47,5.0,5.0,2.0,1.0,3.0,4.0,,,1.0,3.0,1.0,0.0,,,,,0.0,1.0,,,,,,,0.53,0.47,5.0,3.0,2.0,1.0,3.0,2.0,,,9.0,2.0,0.0,3.0,,,,,,,1.0,1.0
6gBrkz7M,NORTHERN-IRELAND,2022-2023,Nifl Premiership 2022 2023,NORTHERN IRELAND 1,29/04/2023,13:30,Relegation Group,Glenavon,Portadown,0,0,[],[],Betfair,2.8,2.2,3.3,Betfair,2.3,3.3,2.7,Betano.br,1.33,3.05,Betano.br,2.42,1.5,Betano.br,5.2,1.13,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.65,2.1,Betfair,2.75,1.4,Betfair,5.5,1.11,Betfair,1.57,2.25,Betfair,1.36,1.25,1.53,Betfair,10.0,Betfair,9.5,Betfair,12.0,Betfair,26.0,Betfair,8.0,Betfair,5.5,Betfair,8.5,Betfair,15.0,Betfair,10.0,Betfair,7.5,Betfair,9.0,Betfair,21.0,Betfair,18.0,Betfair,13.0,Betfair,19.0,Betfair,31.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,Betano.br,18.5,10.25,1.07,Betano.br,9.25,6.4,1.21,Betano.br,4.4,4.25,1.6,Betano.br,1.47,4.5,5.2,Betano.br,1.16,7.1,11.25,,0.0,0.0,0.0,,,,,,,,,,,0.49,0.51,,,,,,,,,,,8.0,11.0,3.0,3.0,5.0,8.0,,,,,,,,,,,,,5.0,5.0,,,,,,,1.0,3.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,0.48,0.52,3.0,4.0,1.0,1.0,2.0,3.0,,,3.0,3.0,,,,,,,1.0,1.0,,,,,,,0.5,0.5,5.0,7.0,2.0,2.0,3.0,5.0,,,2.0,2.0,1.0,3.0,,,,,,,2.0,2.0
6D7MQaO4,NORTHERN-IRELAND,2022-2023,Nifl Premiership 2022 2023,NORTHERN IRELAND 1,29/04/2023,13:30,Championship Group,Cliftonville,Linfield,0,2,[],"[9, 56]",Betfair,3.6,2.0,2.88,Betfair,2.9,3.3,2.15,Betano.br,1.39,2.77,Betano.br,2.7,1.4,Betano.br,5.9,1.1,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.91,1.8,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,1.73,2.0,Betfair,1.57,1.25,1.33,Betfair,8.0,Betfair,7.0,Betfair,9.0,Betfair,18.0,Betfair,8.5,Betfair,5.0,Betfair,7.5,Betfair,14.0,Betfair,12.0,Betfair,9.0,Betfair,10.0,Betfair,21.0,Betfair,26.0,Betfair,20.0,Betfair,26.0,Betfair,51.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,Betano.br,15.5,8.0,1.11,Betano.br,6.8,4.8,1.36,Betano.br,1.75,3.9,3.85,Betano.br,1.26,5.8,8.25,Betano.br,1.08,9.5,17.0,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,0.0,6.0,7.0,4.0,,,,,,,,,,,,,5.0,10.0,,,,,,,1.0,2.0,1.0,0.0,,,4.0,0.0,,,,,,,,,,,,,,,,,,,,,4.0,6.0,0.0,4.0,4.0,2.0,,,1.0,7.0,,,,,,,3.0,0.0,,,,,,,,,3.0,4.0,0.0,2.0,3.0,2.0,,,4.0,3.0,1.0,2.0,1.0,0.0,,,,,1.0,0.0
KGBQPJwB,NORTHERN-IRELAND,2022-2023,Nifl Premiership 2022 2023,NORTHERN IRELAND 1,29/04/2023,13:30,Championship Group,Coleraine,Larne,3,0,"[51, 63, 90]",[],Betfair,3.75,1.91,3.0,Betfair,3.2,3.1,2.1,Betano.br,1.47,2.5,Betano.br,3.1,1.32,Betano.br,6.8,1.07,Betfair,1.06,7.5,Betfair,1.36,2.88,Betfair,2.25,1.57,Betfair,4.5,1.17,Betfair,9.0,1.03,Betfair,1.91,1.8,Betfair,1.62,1.3,1.29,Betfair,6.5,Betfair,6.0,Betfair,8.5,Betfair,18.0,Betfair,7.0,Betfair,5.0,Betfair,7.5,Betfair,17.0,Betfair,12.0,Betfair,9.5,Betfair,13.0,Betfair,26.0,Betfair,34.0,Betfair,23.0,Betfair,36.0,Betfair,76.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.0,0.0,0.0,Betano.br,17.5,8.25,1.1,Betano.br,7.4,4.65,1.35,Betano.br,1.7,3.75,4.2,Betano.br,1.23,5.9,9.5,Betano.br,1.06,10.0,20.0,,,,,,,,,,,0.54,0.46,,,,,,,,,,,6.0,8.0,3.0,5.0,3.0,3.0,,,,,,,,,,,,,3.0,1.0,,,,,,,0.0,1.0,,,,,5.0,0.0,,,,,,,,,,,,,,,,,,,0.59,0.41,1.0,4.0,0.0,2.0,1.0,2.0,,,1.0,0.0,,,,,,,2.0,0.0,,,,,,,0.49,0.51,5.0,4.0,3.0,3.0,2.0,1.0,,,2.0,1.0,0.0,1.0,,,,,,,3.0,0.0
